task,cluster_unit,split_regime,seed,metric,point_estimate,bootstrap_mean,bootstrap_sd,q025,q500,q975,n_records,n_clusters,bootstrap_reps,finite_bootstrap_reps
T3_pn_clf,source_patent_id,poi,20260816,ece_10bin,0.11813266579245708,0.1238692595727438,0.0324269811979553,0.06641774705631708,0.12157297785179984,0.19513454810426553,3240,69,1000,1000
T3_pn_clf,source_patent_id,poi,20260816,sensitivity,0.951228323699422,0.9497580340206012,0.02672464827921841,0.8883317006269593,0.9536884724059178,0.9918838768394881,3240,69,1000,1000
T3_pn_clf,source_patent_id,poi,20260816,specificity,0.13983050847457626,0.12924958073117285,0.11285287138356113,0.0,0.1301775147928994,0.3709896517985181,3240,69,1000,1000
T3_pn_clf,source_patent_id,poi,20260817,roc_auc,0.5733228421671402,0.5805181824811586,0.07126200135631913,0.4417840560477942,0.5798152809924225,0.716091494919811,3240,69,1000,1000
T3_pn_clf,source_patent_id,poi,20260817,pr_auc,0.8713342500054837,0.8760724984335334,0.04414720004465521,0.7779709876163212,0.8789148576148307,0.9525949342960871,3240,69,1000,1000
T3_pn_clf,source_patent_id,poi,20260817,balanced_accuracy,0.5221814685999804,0.5218500519794006,0.014503532724567435,0.4987714143921639,0.521028730435236,0.5524637159599274,3240,69,1000,1000
T3_pn_clf,source_patent_id,poi,20260817,mcc,0.0952352668383397,0.08914894302465981,0.05212020181266228,-0.005456514684350132,0.09204273294059787,0.18466247798184618,3240,69,1000,1000
T3_pn_clf,source_patent_id,poi,20260817,brier,0.1334096140927307,0.13215891893492807,0.031393733114330497,0.0766982734221254,0.1304191795260614,0.1974589078411562,3240,69,1000,1000
T3_pn_clf,source_patent_id,poi,20260817,ece_10bin,0.09531536979807745,0.09639118064347739,0.030305657812038193,0.045162229647050876,0.09367631707904339,0.15981486750340324,3240,69,1000,1000
T3_pn_clf,source_patent_id,poi,20260817,sensitivity,0.9786849710982659,0.9783643394364329,0.009287466879669238,0.9596405574392634,0.9785986340584827,0.9951426670274947,3240,69,1000,1000
T3_pn_clf,source_patent_id,poi,20260817,specificity,0.06567796610169492,0.06533576452236858,0.033958198179761465,0.009267741187384045,0.06451612903225806,0.1335340733068324,3240,69,1000,1000
T3_pn_clf,source_patent_id,pub,20260815,roc_auc,0.5705558991378465,0.571363372354546,0.056075759072891966,0.45615925479236735,0.5726889617042689,0.6770593789460694,3240,69,1000,1000
T3_pn_clf,source_patent_id,pub,20260815,pr_auc,0.8820437436694295,0.8799587637189499,0.040022684370011476,0.7917317822423744,0.884180309150626,0.9482878660198166,3240,69,1000,1000
T3_pn_clf,source_patent_id,pub,20260815,balanced_accuracy,0.4952544822180856,0.4952112887636629,0.004445670830870397,0.48519979189530776,0.49575334734678494,0.5022396784142985,3240,69,1000,1000
T3_pn_clf,source_patent_id,pub,20260815,mcc,-0.03032233616075631,-0.02698640247717506,0.022741264275594347,-0.06867490411340042,-0.02830394618424581,0.021481784144733736,3240,69,1000,1000
T3_pn_clf,source_patent_id,pub,20260815,brier,0.13748517405125812,0.13799400172664347,0.03127525122614884,0.0804955036360031,0.13616158157970676,0.20101208857112,3240,69,1000,1000
T3_pn_clf,source_patent_id,pub,20260815,ece_10bin,0.10359631650793696,0.10593424009440196,0.029859950140976775,0.055672699868498744,0.10275046647190601,0.17056343841738286,3240,69,1000,1000
T3_pn_clf,source_patent_id,pub,20260815,sensitivity,0.986271676300578,0.9858966714437395,0.00824229872435619,0.9673561838251858,0.9871821371407978,0.9975031494609808,3240,69,1000,1000
T3_pn_clf,source_patent_id,pub,20260815,specificity,0.00423728813559322,0.004525906083586337,0.0035494003610213993,0.0,0.003883495145631068,0.013580121703853951,3240,69,1000,1000
T3_pn_clf,source_patent_id,pub,20260816,roc_auc,0.5774583312922504,0.576127597341544,0.07640525259943802,0.43050623996307874,0.5745796746314378,0.7268803084517841,3240,69,1000,1000
T3_pn_clf,source_patent_id,pub,20260816,pr_auc,0.8811117406247666,0.8789423405160424,0.0428740922916877,0.7803815065523173,0.883841101023233,0.9486141805550443,3240,69,1000,1000
T3_pn_clf,source_patent_id,pub,20260816,balanced_accuracy,0.5581984177525228,0.5544699504858083,0.04399927093779937,0.49619189049312495,0.553973963261047,0.648514803550778,3240,69,1000,1000
T3_pn_clf,source_patent_id,pub,20260816,mcc,0.21403541958565347,0.18025120119451593,0.11514231758670265,-0.028482769883128745,0.19946978659815873,0.37304358974762136,3240,69,1000,1000
T3_pn_clf,source_patent_id,pub,20260816,brier,0.1285003953903452,0.12935538532341206,0.032253453578278884,0.07178218386018358,0.12767490409442178,0.19626337971569313,3240,69,1000,1000
T3_pn_clf,source_patent_id,pub,20260816,ece_10bin,0.09522385732903155,0.0988543910224737,0.03222705522559262,0.044836867501374916,0.09655463593889932,0.1672485705974492,3240,69,1000,1000
T3_pn_clf,source_patent_id,pub,20260816,sensitivity,0.9786849710982659,0.9784362177304917,0.014720743058198895,0.9447881155578794,0.9803471973674385,0.9981949364109112,3240,69,1000,1000
T3_pn_clf,source_patent_id,pub,20260816,specificity,0.13771186440677965,0.13050368324112468,0.10023477114065364,0.0,0.13059033989266547,0.34348576954959936,3240,69,1000,1000
T3_pn_clf,source_patent_id,pub,20260817,roc_auc,0.5716875520476143,0.5758538902137387,0.052640341149126614,0.47521323928266296,0.5762839208219364,0.678124328655296,3240,69,1000,1000
