task,cluster_unit,split_regime,seed,metric,point_estimate,bootstrap_mean,bootstrap_sd,q025,q500,q975,n_records,n_clusters,bootstrap_reps,finite_bootstrap_reps
T3_pn_clf,inchikey,pub,20260815,ece_10bin,0.10359631650793696,0.10361377521577321,0.008206142874776867,0.08672362357066156,0.10332472524421314,0.11998021413823967,3240,2278,1000,1000
T3_pn_clf,inchikey,pub,20260815,sensitivity,0.986271676300578,0.9862660785653816,0.0025006878381639837,0.9809790281637284,0.9863809166746258,0.9908314669652855,3240,2278,1000,1000
T3_pn_clf,inchikey,pub,20260815,specificity,0.00423728813559322,0.004336687478655889,0.003022643635390576,0.0,0.0041753653444676405,0.011147596421017252,3240,2278,1000,1000
T3_pn_clf,inchikey,pub,20260816,roc_auc,0.5774583312922504,0.5765912163804164,0.019461387654615102,0.538033166405016,0.5760640910476791,0.6145273302723733,3240,2278,1000,1000
T3_pn_clf,inchikey,pub,20260816,pr_auc,0.8811117406247666,0.8807603769353102,0.010932983446430027,0.8584408097731306,0.8814533328048397,0.9010877753442104,3240,2278,1000,1000
T3_pn_clf,inchikey,pub,20260816,balanced_accuracy,0.5581984177525228,0.5581230458205546,0.010295429949473162,0.5385962461493458,0.5579220071641153,0.5789876643339738,3240,2278,1000,1000
T3_pn_clf,inchikey,pub,20260816,mcc,0.21403541958565347,0.21346777589292457,0.03159281758176503,0.15005798032057827,0.21336610193787864,0.2772589358008874,3240,2278,1000,1000
T3_pn_clf,inchikey,pub,20260816,brier,0.1285003953903452,0.128527173230254,0.0071052626869546375,0.11581718129429634,0.12843389787332796,0.14219066025922264,3240,2278,1000,1000
T3_pn_clf,inchikey,pub,20260816,ece_10bin,0.09522385732903155,0.09661707480022981,0.007720484496385994,0.08210617702702248,0.09630488620878266,0.11178457984276427,3240,2278,1000,1000
T3_pn_clf,inchikey,pub,20260816,sensitivity,0.9786849710982659,0.9787108938543913,0.003399417162639702,0.9715601408292704,0.9787273053546489,0.9851131033349606,3240,2278,1000,1000
T3_pn_clf,inchikey,pub,20260816,specificity,0.13771186440677965,0.13753519778671802,0.020618796441358462,0.09857467723004694,0.13727499196399873,0.1805041412255745,3240,2278,1000,1000
T3_pn_clf,inchikey,pub,20260817,roc_auc,0.5716875520476143,0.5723595550250897,0.01641696744466845,0.5409477384995182,0.5720858898395602,0.6051181535295592,3240,2278,1000,1000
T3_pn_clf,inchikey,pub,20260817,pr_auc,0.8870394626136793,0.8876330592029872,0.008715551928723137,0.8695238636638065,0.8873901005657987,0.9044862710017941,3240,2278,1000,1000
T3_pn_clf,inchikey,pub,20260817,balanced_accuracy,0.5123597776036053,0.512333158494803,0.006543616388851082,0.5003427420745229,0.5122599399359731,0.5262411832742206,3240,2278,1000,1000
