task,protocol,split_regime,seed,metric,value,n_records,n_structures,conflict_structures_total,dropped_records,majority_ties_dropped
T3_pn_clf,exclude_conflict_structures,pub,20260817,mcc,0.07548268798577723,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,pub,20260817,brier,0.1090447076499497,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,pub,20260817,ece_10bin,0.08296863583098077,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,pub,20260817,sensitivity,0.9872241579558653,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,pub,20260817,specificity,0.04294478527607362,2909,2146,132,331,0
T3_pn_clf,structure_majority_label,pub,20260817,roc_auc,0.5706570706275478,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,pub,20260817,pr_auc,0.9174137863654059,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,pub,20260817,balanced_accuracy,0.5045596493990447,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,pub,20260817,mcc,0.021226960837391857,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,pub,20260817,brier,0.10626029172850585,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,pub,20260817,ece_10bin,0.085069417906143,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,pub,20260817,sensitivity,0.9832572298325722,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,pub,20260817,specificity,0.02586206896551724,2203,2203,132,0,75
T3_pn_clf,record_level_all,random,20260815,roc_auc,0.600619519692368,3240,2278,132,0,0
T3_pn_clf,record_level_all,random,20260815,pr_auc,0.8939739954161865,3240,2278,132,0,0
T3_pn_clf,record_level_all,random,20260815,balanced_accuracy,0.5019716860977761,3240,2278,132,0,0
T3_pn_clf,record_level_all,random,20260815,mcc,0.012019657387950753,3240,2278,132,0,0
T3_pn_clf,record_level_all,random,20260815,brier,0.1313780292332636,3240,2278,132,0,0
T3_pn_clf,record_level_all,random,20260815,ece_10bin,0.09057110470064263,3240,2278,132,0,0
